name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1962 South African Grand Prix 🇿🇦,5,13,1962-12-29,10,1962,Innes Ireland 🇬🇧,Lotus-Climax 🇬🇧,9,4,71,,0.0
1962 South African Grand Prix 🇿🇦,6,13,1962-12-29,10,1962,Neville Lederle 🇿🇦,Lotus-Climax 🇬🇧,9,10,71,,0.0
1962 South African Grand Prix 🇿🇦,R,13,1962-12-29,10,1962,Jim Clark 🇬🇧,Lotus-Climax 🇬🇧,9,1,71,,0.0
1962 South African Grand Prix 🇿🇦,R,13,1962-12-29,10,1962,Trevor Taylor 🇬🇧,Lotus-Climax 🇬🇧,9,9,71,,0.0
1962 South African Grand Prix 🇿🇦,W,13,1962-12-29,10,1962,Gary Hocking 🇿🇼,Lotus-Climax 🇬🇧,9,0,71,,0.0
1962 South African Grand Prix 🇿🇦,W,13,1962-12-29,10,1962,Syd van der Vyver 🇿🇦,Lotus-Climax 🇬🇧,9,0,71,,0.0
1962 South African Grand Prix 🇿🇦,W,13,1962-12-29,10,1962,Sam Tingle 🇿🇼,Lotus-Climax 🇬🇧,9,0,71,,0.0
1963 South African Grand Prix 🇿🇦,1,12,1963-12-28,R,1963,Jim Clark 🇬🇧,Lotus-Climax 🇬🇧,10,1,3,,0.0
1963 South African Grand Prix 🇿🇦,8,12,1963-12-28,R,1963,Trevor Taylor 🇬🇧,Lotus-Climax 🇬🇧,10,8,3,,0.0
1963 South African Grand Prix 🇿🇦,W,12,1963-12-28,R,1963,Neville Lederle 🇿🇦,Lotus-Climax 🇬🇧,10,0,3,,0.0
1965 South African Grand Prix 🇿🇦,1,0,1965-01-01,F,1965,Jim Clark 🇬🇧,Lotus-Climax 🇬🇧,1,1,0,,0.0
1965 South African Grand Prix 🇿🇦,4,0,1965-01-01,F,1965,Mike Spence 🇬🇧,Lotus-Climax 🇬🇧,1,4,0,,0.0
1965 South African Grand Prix 🇿🇦,F,0,1965-01-01,F,1965,Neville Lederle 🇿🇦,Lotus-Climax 🇬🇧,1,0,0,,0.0
1965 South African Grand Prix 🇿🇦,F,0,1965-01-01,F,1965,Clive Puzey 🇿🇼,Lotus-Climax 🇬🇧,1,0,0,,0.0
