name,race_duration,round,laps_completed,winning_constructor,date,circuit,winning_driver,season
2004 Chinese Grand Prix 🇨🇳,1:29:12.420,16,56,Ferrari 🇮🇹,2004-09-26,Shanghai International Circuit,Rubens Barrichello 🇧🇷,2004
2005 Chinese Grand Prix 🇨🇳,1:39:53.618,19,56,Renault 🇫🇷,2005-10-16,Shanghai International Circuit,Fernando Alonso 🇪🇸,2005
2006 Chinese Grand Prix 🇨🇳,1:37:32.747,16,56,Ferrari 🇮🇹,2006-10-01,Shanghai International Circuit,Michael Schumacher 🇩🇪,2006
2007 Chinese Grand Prix 🇨🇳,1:37:58.395,16,56,Ferrari 🇮🇹,2007-10-07,Shanghai International Circuit,Kimi Räikkönen 🇫🇮,2007
2008 Chinese Grand Prix 🇨🇳,1:31:57.403,17,56,McLaren 🇬🇧,2008-10-19,Shanghai International Circuit,Lewis Hamilton 🇬🇧,2008
2009 Chinese Grand Prix 🇨🇳,1:57:43.485,3,56,Red Bull 🇦🇹,2009-04-19,Shanghai International Circuit,Sebastian Vettel 🇩🇪,2009
2010 Chinese Grand Prix 🇨🇳,1:46:42.163,4,56,McLaren 🇬🇧,2010-04-18,Shanghai International Circuit,Jenson Button 🇬🇧,2010
2011 Chinese Grand Prix 🇨🇳,1:36:58.226,3,56,McLaren 🇬🇧,2011-04-17,Shanghai International Circuit,Lewis Hamilton 🇬🇧,2011
2012 Chinese Grand Prix 🇨🇳,1:36:26.929,3,56,Mercedes 🇩🇪,2012-04-15,Shanghai International Circuit,Nico Rosberg 🇩🇪,2012
2013 Chinese Grand Prix 🇨🇳,1:36:26.945,3,56,Ferrari 🇮🇹,2013-04-14,Shanghai International Circuit,Fernando Alonso 🇪🇸,2013
2014 Chinese Grand Prix 🇨🇳,1:33:28.338,4,54,Mercedes 🇩🇪,2014-04-20,Shanghai International Circuit,Lewis Hamilton 🇬🇧,2014
2015 Chinese Grand Prix 🇨🇳,1:39:42.008,3,56,Mercedes 🇩🇪,2015-04-12,Shanghai International Circuit,Lewis Hamilton 🇬🇧,2015
2016 Chinese Grand Prix 🇨🇳,1:38:53.891,3,56,Mercedes 🇩🇪,2016-04-17,Shanghai International Circuit,Nico Rosberg 🇩🇪,2016
2017 Chinese Grand Prix 🇨🇳,1:37:36.158,2,56,Mercedes 🇩🇪,2017-04-09,Shanghai International Circuit,Lewis Hamilton 🇬🇧,2017
