name,race_duration,round,laps_completed,winning_constructor,date,circuit,winning_driver,season
1995 Japanese Grand Prix 🇯🇵,1:36:52.930,16,53,Benetton 🇮🇹,1995-10-29T00:00:00.000Z,Suzuka Circuit,Michael Schumacher 🇩🇪,1995
1995 Pacific Grand Prix 🇯🇵,1:48:49.972,15,83,Benetton 🇮🇹,1995-10-22T00:00:00.000Z,Okayama International Circuit,Michael Schumacher 🇩🇪,1995
1996 Japanese Grand Prix 🇯🇵,1:32:33.791,16,52,Williams 🇬🇧,1996-10-13T00:00:00.000Z,Suzuka Circuit,Damon Hill 🇬🇧,1996
1997 Japanese Grand Prix 🇯🇵,1:29:48.446,16,53,Ferrari 🇮🇹,1997-10-12T00:00:00.000Z,Suzuka Circuit,Michael Schumacher 🇩🇪,1997
1998 Japanese Grand Prix 🇯🇵,1:27:23.4,16,51,McLaren 🇬🇧,1998-11-01T00:00:00.000Z,Suzuka Circuit,Mika Häkkinen 🇫🇮,1998
1999 Japanese Grand Prix 🇯🇵,1:31:18.785,16,53,McLaren 🇬🇧,1999-10-31T00:00:00.000Z,Suzuka Circuit,Mika Häkkinen 🇫🇮,1999
2000 Japanese Grand Prix 🇯🇵,1:29:53.435,16,53,Ferrari 🇮🇹,2000-10-08T00:00:00.000Z,Suzuka Circuit,Michael Schumacher 🇩🇪,2000
2001 Japanese Grand Prix 🇯🇵,1:27:33.298,17,53,Ferrari 🇮🇹,2001-10-14T00:00:00.000Z,Suzuka Circuit,Michael Schumacher 🇩🇪,2001
2002 Japanese Grand Prix 🇯🇵,1:26:59.698,17,53,Ferrari 🇮🇹,2002-10-13T00:00:00.000Z,Suzuka Circuit,Michael Schumacher 🇩🇪,2002
2003 Japanese Grand Prix 🇯🇵,1:25:11.743,16,53,Ferrari 🇮🇹,2003-10-12T00:00:00.000Z,Suzuka Circuit,Rubens Barrichello 🇧🇷,2003
2004 Japanese Grand Prix 🇯🇵,1:24:26.985,17,53,Ferrari 🇮🇹,2004-10-10T00:00:00.000Z,Suzuka Circuit,Michael Schumacher 🇩🇪,2004
2005 Japanese Grand Prix 🇯🇵,1:29:02.212,18,53,McLaren 🇬🇧,2005-10-09T00:00:00.000Z,Suzuka Circuit,Kimi Räikkönen 🇫🇮,2005
2006 Japanese Grand Prix 🇯🇵,1:23:52.413,17,53,Renault 🇫🇷,2006-10-08T00:00:00.000Z,Suzuka Circuit,Fernando Alonso 🇪🇸,2006
2007 Japanese Grand Prix 🇯🇵,2:00:34.579,15,67,McLaren 🇬🇧,2007-09-30T00:00:00.000Z,Fuji Speedway,Lewis Hamilton 🇬🇧,2007
2008 Japanese Grand Prix 🇯🇵,1:30:21.892,16,67,Renault 🇫🇷,2008-10-12T00:00:00.000Z,Fuji Speedway,Fernando Alonso 🇪🇸,2008
2009 Japanese Grand Prix 🇯🇵,1:28:20.443,15,53,Red Bull 🇦🇹,2009-10-04T00:00:00.000Z,Suzuka Circuit,Sebastian Vettel 🇩🇪,2009
2010 Japanese Grand Prix 🇯🇵,1:30:27.323,16,53,Red Bull 🇦🇹,2010-10-10T00:00:00.000Z,Suzuka Circuit,Sebastian Vettel 🇩🇪,2010
2011 Japanese Grand Prix 🇯🇵,1:30:53.427,15,53,McLaren 🇬🇧,2011-10-09T00:00:00.000Z,Suzuka Circuit,Jenson Button 🇬🇧,2011
2012 Japanese Grand Prix 🇯🇵,1:28:56.242,15,53,Red Bull 🇦🇹,2012-10-07T00:00:00.000Z,Suzuka Circuit,Sebastian Vettel 🇩🇪,2012
2013 Japanese Grand Prix 🇯🇵,1:26:49.301,15,53,Red Bull 🇦🇹,2013-10-13T00:00:00.000Z,Suzuka Circuit,Sebastian Vettel 🇩🇪,2013
2014 Japanese Grand Prix 🇯🇵,1:51:43.021,15,44,Mercedes 🇩🇪,2014-10-05T00:00:00.000Z,Suzuka Circuit,Lewis Hamilton 🇬🇧,2014
2015 Japanese Grand Prix 🇯🇵,,14,53,Mercedes 🇩🇪,2015-09-27T00:00:00.000Z,Suzuka Circuit,Lewis Hamilton 🇬🇧,2015
2016 Japanese Grand Prix 🇯🇵,1:26:43.333,17,53,Mercedes 🇩🇪,2016-10-09T00:00:00.000Z,Suzuka Circuit,Nico Rosberg 🇩🇪,2016
2017 Japanese Grand Prix 🇯🇵,,16,,,2017-10-08T00:00:00.000Z,Suzuka Circuit,,2017
